site,event_id,Eventdate,temp_mean_2d,temp_var_2d,temp_sd_2d,temp_cv_2d,temp_relvar_2d
SLOW,SLOW_DO6,2024-03-20T16:00:00Z,10.417043478260869,6.544621990657538e-4,0.02558245881587135,0.24558272094437253,3.674534743006487e-5
SLOW,SLOW_DO7,2024-05-14T20:15:00Z,14.329428503787879,0.004937782754739804,0.070269358576408,0.49038493445731496,2.7723609265149866e-4
SLOW,SLOW_DO8,2024-07-17T20:00:00Z,17.05966903409091,0.00349380979633618,0.05910845790862911,0.34648068371379714,1.9616297931981654e-4
SLOW,SLOW_DO9,2024-08-19T16:30:00Z,20.56319365530303,1.2595291180787048e-4,0.011222874489535668,0.054577487707710266,7.071735404757162e-6
VDOS,VDOS_DO1,2023-10-16T01:00:00Z,21.171649621212122,0.0014885676048923336,0.03858195957818023,0.1822340737186795,1.7753602640927272e-4
VDOS,VDOS_DO2,2023-11-27T16:45:00Z,17.93643986742424,0.00230543014126571,0.048014894993800725,0.2676946782566606,2.7496024036750843e-4
VDOS,VDOS_DO3,2023-11-29T17:15:00Z,17.81084327651515,0.014573667274016324,0.12072144496325549,0.6777974691542831,0.00173814811603861
VDOS,VDOS_DO4,2023-11-30T17:30:00Z,17.69316193181818,0.02271519262742847,0.15071560180495072,0.8518296638313925,0.002709158136278629
VDOS,VDOS_DO5,2024-02-21T20:30:00Z,12.880746674057649,0.0017000353663483131,0.041231485133915724,0.3201016693927971,2.0275701466615072e-4
VDOS,VDOS_DO6,2024-04-17T16:00:00Z,13.835375348577802,0.0014791061266441424,0.038459148802906996,0.2779769094364352,1.7640759042381868e-4
VDOS,VDOS_DO7,2024-05-23T16:15:00Z,17.164517992424244,0.014188968477312377,0.11911745664390412,0.6939749586704268,0.001692266494332764
VDOS,VDOS_DO8,2024-07-16T16:00:00Z,19.697511837121212,0.0011308213727139302,0.03362768759094104,0.17072048423683406,1.348689387237009e-4
VDOS,VDOS_DO9,2024-07-17T19:15:00Z,19.76267850378788,0.001025151129106985,0.03201798134028729,0.16201235745524303,1.2226603436247518e-4
VDOS,VDOS_DO10,2024-08-19T15:45:00Z,20.439610321969695,5.6704480325028474e-5,0.007530237733632881,0.03684139577523618,6.762936452077688e-6
VDOW,VDOW_DO1,2023-10-03T17:30:00Z,22.60233475378788,3.9387363678731866e-4,0.019846249942679816,0.0878061941780321,3.371138505342497e-5
VDOW,VDOW_DO2,2023-10-16T20:00:00Z,21.791876420454546,0.002245839219554542,0.04739028613075196,0.21746767105502643,1.9221989904180404e-4
VDOW,VDOW_DO3,2023-11-20T21:30:00Z,18.839410984848485,0.0018313493105735982,0.042794267262959394,0.227152893991094,1.5674398083517188e-4
VDOW,VDOW_DO4,2023-11-27T16:30:00Z,18.277020833333335,0.0032337069757546865,0.05686569243185813,0.311132174933824,2.767708493992874e-4
VDOW,VDOW_DO5,2023-11-28T17:00:00Z,18.101615421227987,0.0177920388805513,0.13338680174796644,0.7368778898680065,0.0015228088847988731
VDOW,VDOW_DO6,2023-11-29T17:15:00Z,17.970623988576868,0.006178351390201519,0.07860248972011967,0.4373943262631492,5.288010246365207e-4
VDOW,VDOW_DO7,2023-12-18T16:45:00Z,16.271392045454544,0.004073343397083631,0.0638227498395645,0.3922390270068722,3.4863477747321413e-4
VDOW,VDOW_DO8,2024-02-21T20:45:00Z,12.756166297117517,9.058770582321213e-4,0.03009779158397043,0.23594699914481015,7.753342054120984e-5
VDOW,VDOW_DO9,2024-03-20T15:45:00Z,13.078707509881422,6.049061669062155e-4,0.024594840249658374,0.18805252912855577,5.177352025918416e-5
VDOW,VDOW_DO10,2024-04-17T16:15:00Z,13.674486335750139,0.00318254183590883,0.05641402162502537,0.41254947527746155,2.723916587920537e-4
VDOW,VDOW_DO11,2024-05-14T19:15:00Z,16.06704403409091,0.001343795506604007,0.036657816446209766,0.22815532445438963,1.1501457199749424e-4
VDOW,VDOW_DO12,2024-05-23T16:00:00Z,17.321892518939393,0.025237391485430784,0.15886280711806267,0.9171215382174056,0.00216005170858589
VDOW,VDOW_DO13,2024-06-17T18:45:00Z,19.221951231060608,0.0019615112173766505,0.04428895141428221,0.2304081978041648,1.6788445267613207e-4
VDOW,VDOW_DO14,2024-07-17T19:15:00Z,21.15642566287879,0.0013497552516027601,0.03673901538695287,0.1736541700019555,1.1552466264512416e-4
VDOW,VDOW_DO15,2024-08-19T15:30:00Z,21.503690814393938,2.4095937518029236e-4,0.015522866203774752,0.07218698565636092,2.0623554156080197e-5
