response,predictor,random_structure,model_type,n,delta_AICc,coef,p_value,R2_marginal,R2_conditional,n_loo_flagged
ER_rate_mag,DTW_sd_2d_between,nested,within/between,30,-5.489512838169361,-27.636545457777245,0.6306968620793585,0.019211980630428335,0.01925317626424085,4
ER_rate_mag,DTW_sd_2d_within,well_only,within/between,30,-5.014251515059428,-2.786074842824338,0.7280881047901826,0.01921077907730096,0.01926321104394764,4
ER_rate_mag,DTW_sd_2d_between,well_only,within/between,30,-5.014251515059428,-27.635801394431486,0.5795964605702931,0.01921077907730096,0.01926321104394764,4
ER_rate_mag,fDOM_mean_2d_within,nested,within/between,30,-5.458401820120315,0.001633400707307927,0.8591160454268165,0.02025841449240166,0.02029546759013025,12
ER_rate_mag,fDOM_mean_2d_between,nested,within/between,30,-5.458401820120315,0.01032835153815444,0.586158680391563,0.02025841449240166,0.02029546759013025,3
ER_rate_mag,fDOM_mean_2d_within,well_only,within/between,30,-4.983129163465506,0.0016334794644044456,0.859109184378209,0.020256034878786508,0.020300808044391667,12
ER_rate_mag,fDOM_mean_2d_between,well_only,within/between,30,-4.983129163465506,0.010327707227904485,0.5265238026469479,0.020256034878786508,0.020300808044391667,3
ER_rate_mag,temp_mean_2d_within,nested,within/between,30,-6.044468725370891,-0.0021027064637187593,0.9552244898772482,2.656512106435846e-4,3.124412525058043e-4,21
ER_rate_mag,temp_mean_2d_between,nested,within/between,30,-6.044468725370891,-0.0033583505736334953,0.9564161928660161,2.656512106435846e-4,3.124412525058043e-4,24
ER_rate_mag,temp_mean_2d_within,well_only,within/between,30,-5.569218399158345,-0.002103709571394828,0.9552030762856137,2.657423316520195e-4,3.291566939043731e-4,21
ER_rate_mag,temp_mean_2d_between,well_only,within/between,30,-5.569218399158345,-0.003358248349157488,0.9515755255282445,2.657423316520195e-4,3.291566939043731e-4,24
ER_total_mag,DTW_mean_2d_within,nested,within/between,30,-5.98723473820651,-0.28910390544451087,0.8181191062487796,0.002235774916048958,0.0023388670031675514,7
ER_total_mag,DTW_mean_2d_between,nested,within/between,30,-5.98723473820651,-0.020526695863502354,0.9403548626268936,0.002235774916048958,0.0023388670031675514,22
ER_total_mag,DTW_mean_2d_within,well_only,within/between,30,-5.511994213662248,-0.2888703717886784,0.818262278116316,0.0022353229594427137,0.002423487405014166,7
