Total magnitudes ~ DTW (~1 |siteID/wellID),,,,,,,,,,,Total magnitudes ~ DTW (~1 |wellID),,,,,,,,,
response,predictor,random_structure,n,delta_AICc,coef,p_value,R2_marginal,R2_conditional,n_loo_flagged,,response,predictor,random_structure,n,delta_AICc,coef,p_value,R2_marginal,R2_conditional,n_loo_flagged
ER_total_mag,DTW_mean_2d_between,well_only,30,-5.511994214,-0.020606092,0.9334684685685163,0.002235323,0.002423487,22,,,,,,,,,,,
ER_total_mag,DTW_mean_2d_within,well_only,30,-5.511994214,-0.288870372,0.818262278,0.002235323,0.002423487,7,,,,,,,,,,,
ER_total_mag,fDOM_mean_2d_between,well_only,30,-2.254835696,0.02807605,0.20351119406732687,0.10804808874615877,0.10807965413820561,0,,,,,,,,,,,
ER_total_mag,fDOM_mean_2d_within,well_only,30,-2.254835696,-0.001249575,0.9025674474430773,0.10804808874615877,0.10807965413820561,13,,,,,,,,,,,
ER_total_mag,temp_mean_2d_between,well_only,30,-2.336488723,0.012019302343834559,0.869913156,0.11447001283502672,0.16530994224588344,14,,,,,,,,,,,
ER_total_mag,temp_mean_2d_within,well_only,30,-2.336488723,-0.078602665,0.061133528,0.11447001283502672,0.16530994224588344,1,,,,,,,,,,,
gross_total_areal_gO2_m2,DTW_mean_2d_between,well_only,52,-1.168573103,-0.332369047,0.1830926331124083,0.077720684,0.077788975,0,,,,,,,,,,,
gross_total_areal_gO2_m2,DTW_mean_2d_within,well_only,52,-1.168573103,0.48766025652074746,0.5981727345997857,0.077720684,0.077788975,5,,,,,,,,,,,
gross_total_areal_gO2_m2,fDOM_mean_2d_between,well_only,52,0.9437968108742893,0.029766699,0.1375574436776732,0.11505544082073337,0.11509385278677468,0,,,,,,,,,,,
gross_total_areal_gO2_m2,fDOM_mean_2d_within,well_only,52,0.9437968108742893,-0.008233309,0.3692924410342401,0.11505544082073337,0.11509385278677468,1,,,,,,,,,,,
gross_total_areal_gO2_m2,temp_mean_2d_between,well_only,52,-0.97620793,0.084466285,0.18921817611091407,0.081189358,0.081270033,0,,,,,,,,,,,
gross_total_areal_gO2_m2,temp_mean_2d_within,well_only,52,-0.97620793,-0.026553744,0.41898462976132556,0.081189358,0.081270033,2,,,,,,,,,,,
